waveform,[0],PXI1Slot7/ai0
t0,12/31/1903  19:00:00.000000,12/14/2017  03:38:55.524437
delta t,5.000000E-7,5.000000E-7

time,Y[0],PXI1Slot7/ai0
12/31/1903  19:00:00.000096,8.809903E-2,-1.371154E-2
12/31/1903  19:00:00.000097,9.566297E-2,-1.214687E-2
12/31/1903  19:00:00.000097,4.677563E-2,-1.208429E-2
12/31/1903  19:00:00.000098,-2.971616E-2,-1.236593E-2
12/31/1903  19:00:00.000098,-8.867209E-2,-1.296050E-2
12/31/1903  19:00:00.000099,-9.529698E-2,-1.267886E-2
12/31/1903  19:00:00.000099,-4.567804E-2,-1.233463E-2
12/31/1903  19:00:00.000100,3.090170E-2,-1.245981E-2
12/31/1903  19:00:00.000100,8.924319E-2,-1.252239E-2
12/31/1903  19:00:00.000101,9.490862E-2,-1.255369E-2
12/31/1903  19:00:00.000101,4.455096E-2,-1.245981E-2
12/31/1903  19:00:00.000102,-3.210626E-2,-1.283533E-2
12/31/1903  19:00:00.000102,-8.981139E-2,-1.277274E-2
12/31/1903  19:00:00.000103,-9.449706E-2,-1.261627E-2
12/31/1903  19:00:00.000103,-4.339414E-2,-1.255369E-2
12/31/1903  19:00:00.000104,3.332935E-2,-1.258498E-2
12/31/1903  19:00:00.000104,9.037575E-2,-1.271015E-2
12/31/1903  19:00:00.000105,9.406144E-2,-1.239722E-2
12/31/1903  19:00:00.000105,4.220733E-2,-1.220946E-2
12/31/1903  19:00:00.000106,-3.457044E-2,-1.289791E-2
12/31/1903  19:00:00.000106,-9.093527E-2,-1.346119E-2
12/31/1903  19:00:00.000107,-9.360092E-2,-1.264757E-2
12/31/1903  19:00:00.000107,-4.099031E-2,-1.195911E-2
12/31/1903  19:00:00.000108,3.582897E-2,-1.167747E-2
12/31/1903  19:00:00.000108,9.148896E-2,-1.255369E-2
12/31/1903  19:00:00.000109,9.311462E-2,-1.299179E-2
12/31/1903  19:00:00.000109,3.974290E-2,-1.277274E-2
12/31/1903  19:00:00.000110,-3.710437E-2,-1.255369E-2
12/31/1903  19:00:00.000110,-9.203578E-2,-1.245981E-2
12/31/1903  19:00:00.000111,-9.260169E-2,-1.202170E-2
12/31/1903  19:00:00.000111,-3.846490E-2,-9.737287E-3
12/31/1903  19:00:00.000112,3.839601E-2,-1.136454E-2
12/31/1903  19:00:00.000112,9.257469E-2,-1.261627E-2
12/31/1903  19:00:00.000113,9.206126E-2,-1.361766E-2
12/31/1903  19:00:00.000113,3.715615E-2,-1.324214E-2
12/31/1903  19:00:00.000114,-3.970326E-2,-1.217817E-2
12/31/1903  19:00:00.000114,-9.310459E-2,-1.227205E-2
12/31/1903  19:00:00.000115,-9.149244E-2,-1.274145E-2
12/31/1903  19:00:00.000115,-3.581651E-2,-1.277274E-2
12/31/1903  19:00:00.000116,4.102541E-2,-1.296050E-2
12/31/1903  19:00:00.000116,9.362439E-2,-1.239722E-2
12/31/1903  19:00:00.000117,9.089438E-2,-1.255369E-2
12/31/1903  19:00:00.000117,3.444586E-2,-1.261627E-2
12/31/1903  19:00:00.000118,-4.236177E-2,-1.280403E-2
12/31/1903  19:00:00.000118,-9.413296E-2,-1.267886E-2
12/31/1903  19:00:00.000119,-9.026619E-2,-1.242851E-2
12/31/1903  19:00:00.000119,-3.304411E-2,-1.252239E-2
12/31/1903  19:00:00.000120,4.371158E-2,-1.211558E-2
12/31/1903  19:00:00.000120,9.462912E-2,-1.217817E-2
12/31/1903  19:00:00.000121,8.960700E-2,-1.342990E-2
12/31/1903  19:00:00.000121,3.161119E-2,-1.333602E-2
12/31/1903  19:00:00.000122,-4.507404E-2,-1.217817E-2
12/31/1903  19:00:00.000122,-9.511172E-2,-1.183394E-2
12/31/1903  19:00:00.000123,-8.891593E-2,-1.211558E-2
12/31/1903  19:00:00.000123,-3.014706E-2,-1.277274E-2
12/31/1903  19:00:00.000124,4.644835E-2,-1.314826E-2
12/31/1903  19:00:00.000124,9.557953E-2,-1.280403E-2
12/31/1903  19:00:00.000125,8.819213E-2,-1.267886E-2
12/31/1903  19:00:00.000125,2.865170E-2,-1.267886E-2
12/31/1903  19:00:00.000126,-4.783363E-2,-1.199041E-2
12/31/1903  19:00:00.000126,-9.603134E-2,-1.324214E-2
12/31/1903  19:00:00.000127,-8.743471E-2,-1.364895E-2
12/31/1903  19:00:00.000127,-2.712515E-2,-1.449387E-2
12/31/1903  19:00:00.000128,4.922899E-2,-1.255369E-2
12/31/1903  19:00:00.000128,9.646589E-2,-1.161489E-2
12/31/1903  19:00:00.000129,8.664283E-2,-1.220946E-2
12/31/1903  19:00:00.000129,2.556744E-2,-1.224075E-2
12/31/1903  19:00:00.000130,-5.063348E-2,-1.286662E-2
12/31/1903  19:00:00.000130,-9.688191E-2,-1.271015E-2
12/31/1903  19:00:00.000131,-8.581563E-2,-1.217817E-2
12/31/1903  19:00:00.000131,-2.397867E-2,-1.230334E-2
12/31/1903  19:00:00.000132,5.204613E-2,-1.267886E-2
12/31/1903  19:00:00.000132,9.727809E-2,-1.261627E-2
12/31/1903  19:00:00.000133,8.495228E-2,-1.302309E-2
12/31/1903  19:00:00.000133,2.235895E-2,-1.277274E-2
12/31/1903  19:00:00.000134,-5.346592E-2,-1.289791E-2
12/31/1903  19:00:00.000134,-9.765313E-2,-1.305438E-2
12/31/1903  19:00:00.000135,-8.405193E-2,-1.258498E-2
12/31/1903  19:00:00.000135,-2.070845E-2,-1.199041E-2
12/31/1903  19:00:00.000136,5.489178E-2,-1.233463E-2
12/31/1903  19:00:00.000136,9.800569E-2,-1.271015E-2
12/31/1903  19:00:00.000137,8.311378E-2,-1.330473E-2
12/31/1903  19:00:00.000137,1.902736E-2,-1.299179E-2
12/31/1903  19:00:00.000138,-5.632261E-2,-1.242851E-2
12/31/1903  19:00:00.000138,-9.833440E-2,-1.211558E-2
12/31/1903  19:00:00.000139,-8.213703E-2,-1.255369E-2
12/31/1903  19:00:00.000139,-1.731592E-2,-1.264757E-2
12/31/1903  19:00:00.000140,5.775727E-2,-1.252239E-2
